strategy_name,signal_type,instrument,timeframe,direction,entry_date,entry_price,stop_price,exit_date,exit_price,exit_type,volume,commission,profit_abs,profit_eq_pc,start_equity
ETH-USDT-SWAP_M30_RISE_FALL_False_True_False_w,RISE_FALL,ETH-USDT-SWAP,M30,Long,2021-04-02 15:00:00,2070.11,2004.33,2021-04-02 15:30:00,2071.99,take_profit,0.058,0.12012090000000003,-0.011080900000020072,-0.00011099148489103575,9983.558658485
ETH-USDT-SWAP_H1_RISE_FALL_False_True_False_w,RISE_FALL,ETH-USDT-SWAP,H1,Long,2021-04-02 15:00:00,2070.11,1986.27,2021-04-02 16:00:00,2074.82,take_profit,0.004,0.008289860000000001,0.010550140000000144,0.00010567514411340295,9983.558658485
DOGE-USDT-SWAP_H4_CONTRACTION_False_True_False,CONTRACTION,DOGE-USDT-SWAP,H4,Short,2021-04-02 16:00:00,0.0581659999999999,0.06084,2021-04-02 20:00:00,0.057904,take_profit,980.0,0.056874299999999954,0.19988569999990322,0.0020021510234366525,9983.547577585
AVAX-USDT-SWAP_H1_STOCH_False_True_True,STOCH,AVAX-USDT-SWAP,H1,Short,2021-04-02 20:00:00,28.617,29.553,2021-04-02 21:00:00,28.598,take_profit,1.9,0.05435425000000001,-0.018254249999996384,-0.00018285762203231842,9982.766809015
ETH-USDT-SWAP_M30_HHV_LLV_False_False_True_w,HHV_LLV,ETH-USDT-SWAP,M30,Long,2021-04-02 20:30:00,2083.7200000000003,2054.32,2021-04-03 01:30:00,2089.56,be,0.101,0.21075064000000004,0.3790893599999688,0.0037973617622170308,9982.966694715
ETH-USDT-SWAP_M30_HHV_LLV_False_False_True,HHV_LLV,ETH-USDT-SWAP,M30,Long,2021-04-02 20:30:00,2083.7200000000003,2058.47,2021-04-03 01:30:00,2088.73,be,0.057,0.11891482500000002,0.16665517499998656,0.001669395281947741,9982.966694715
AVAX-USDT-SWAP_H1_STOCH_False_True_True,STOCH,AVAX-USDT-SWAP,H1,Long,2021-04-03 00:00:00,29.116,27.322,2021-04-03 01:00:00,29.747,take_profit,1.0,0.029431500000000003,0.6015685000000002,0.00602596020191385,9982.948440465
ETH-USDT-SWAP_M30_ENVELOPE_BREAKTHROUGH_True_False_True_w,ENVELOPE_BREAKTHROUGH,ETH-USDT-SWAP,M30,Long,2021-04-03 00:30:00,2130.6800000000003,2099.29,2021-04-03 01:30:00,2099.24,stop,0.138,0.29186448000000004,-4.630584480000071,-0.04630646713097299,9999.865606035
SOL-USDT-SWAP_H1_RISE_FALL_False_True_False,RISE_FALL,SOL-USDT-SWAP,H1,Long,2021-04-03 01:00:00,20.339,19.48,2021-04-03 03:00:00,20.349000000000004,take_profit,2.35,0.0478084,-0.02430839999998798,-0.00024308726694604438,9999.865606035
SOL-USDT-SWAP_H1_RISE_FALL_False_True_False_w,RISE_FALL,SOL-USDT-SWAP,H1,Long,2021-04-03 01:00:00,20.339,19.48,2021-04-03 03:00:00,20.349000000000004,take_profit,3.68,0.07486592,-0.03806591999998117,-0.0003806643158984864,9999.865606035
SOL-USDT-SWAP_M30_RISE_FALL_False_True_False_w,RISE_FALL,SOL-USDT-SWAP,M30,Long,2021-04-03 03:30:00,21.164,20.19,2021-04-03 04:30:00,21.174000000000003,take_profit,2.21,0.04678349000000002,-0.024683489999996564,-0.00024692576966423816,9996.31996027
SOL-USDT-SWAP_M30_RISE_FALL_False_True_True,RISE_FALL,SOL-USDT-SWAP,M30,Long,2021-04-03 03:30:00,21.164,20.19,2021-04-03 04:30:00,21.174000000000003,take_profit,3.35,0.07091615000000001,-0.03741614999999477,-0.0003742992436086866,9996.31996027
SOL-USDT-SWAP_H1_RISE_FALL_False_True_False,RISE_FALL,SOL-USDT-SWAP,H1,Long,2021-04-03 04:00:00,21.164,20.11,2021-04-03 05:00:00,21.244,take_profit,1.92,0.04071168,0.11288831999999671,0.001129298786440081,9996.31996027
SOL-USDT-SWAP_H1_RISE_FALL_False_True_False_w,RISE_FALL,SOL-USDT-SWAP,H1,Long,2021-04-03 04:00:00,21.164,20.11,2021-04-03 05:00:00,21.244,take_profit,3.0,0.063612,0.17638799999999488,0.001764529353812627,9996.31996027
AVAX-USDT-SWAP_H1_RISE_FALL_False_True_False,RISE_FALL,AVAX-USDT-SWAP,H1,Long,2021-04-03 08:00:00,32.769000000000005,31.22,2021-04-03 09:00:00,31.215,stop,2.1,0.06718320000000003,-3.330583200000012,-0.033317336019846856,9996.54713695
SOL-USDT-SWAP_H1_RISE_FALL_False_True_False_w,RISE_FALL,SOL-USDT-SWAP,H1,Long,2021-04-03 10:00:00,22.297,21.21,2021-04-03 11:00:00,22.357,take_profit,2.91,0.06497157,0.10962842999999628,0.001097028463361556,9993.21655375
SOL-USDT-SWAP_H1_RISE_FALL_False_True_False,RISE_FALL,SOL-USDT-SWAP,H1,Long,2021-04-03 10:00:00,22.297,21.21,2021-04-03 11:00:00,22.357,take_profit,1.86,0.04152822,0.07007177999999761,0.0007011934508084172,9993.21655375
ETH-USDT-SWAP_H4_EXPANSION_False_True_False,EXPANSION,ETH-USDT-SWAP,H4,Short,2021-04-03 12:00:00,2068.76,2132.31,2021-04-03 16:00:00,2068.41,take_profit,0.012,0.024823020000000008,-0.02062301999999564,-0.00020636647918192502,9993.39625396
DOGE-USDT-SWAP_H4_CONTRACTION_False_True_False,CONTRACTION,DOGE-USDT-SWAP,H4,Short,2021-04-03 12:00:00,0.058275,0.05958,2021-04-03 20:00:00,0.057456,take_profit,2010.0,0.11630965500000003,1.5298803450000005,0.015308913067404563,9993.39625396
ETH-USDT-SWAP_H4_EXPANSION_False_False_True,EXPANSION,ETH-USDT-SWAP,H4,Short,2021-04-03 12:00:00,2068.76,2132.31,2021-04-04 08:00:00,2056.09,be,0.02,0.041248500000000014,0.21215150000000144,0.0021229169204206623,9993.39625396
ETH-USDT-SWAP_H4_EXPANSION_False_True_False_w,EXPANSION,ETH-USDT-SWAP,H4,Short,2021-04-03 12:00:00,2068.76,2132.31,2021-04-03 16:00:00,2068.41,take_profit,0.022,0.04550886999999999,-0.03780886999999199,-0.0003783385451668624,9993.39625396
DOGE-USDT-SWAP_M30_BB_CONFIRMED_False_True_False_w,BB_CONFIRMED,DOGE-USDT-SWAP,M30,Long,2021-04-03 13:00:00,0.058863,0.05677,2021-04-03 13:30:00,0.058987,take_profit,2370.0,0.13965225000000003,0.1542277499999979,0.0015432966539166634,9993.39625396
AAVE-USDT-SWAP_H1_FAKE_REVERSAL_False_True_False_w,FAKE_REVERSAL,AAVE-USDT-SWAP,H1,Short,2021-04-03 14:00:00,404.44,415.64,2021-04-03 15:00:00,401.96,take_profit,0.38,0.15321600000000002,0.7891840000000069,0.007896933141473154,9993.550481709999
AVAX-USDT-SWAP_H1_STOCH_False_True_True,STOCH,AVAX-USDT-SWAP,H1,Short,2021-04-03 16:00:00,30.307,31.896,2021-04-03 17:00:00,30.286,take_profit,1.1,0.033326150000000006,-0.010226150000003036,-0.00010231941621004101,9994.33966571
ETH-USDT-SWAP_M30_ENVELOPE_BREAKTHROUGH_True_False_False,ENVELOPE_BREAKTHROUGH,ETH-USDT-SWAP,M30,Short,2021-04-03 17:00:00,2028.81,2117.64,2021-04-04 00:00:00,2011.87,exit,0.008,0.016162720000000002,0.11935728000000044,0.001194573727697611,9991.62104712
DOGE-USDT-SWAP_M30_BB_CONFIRMED_False_True_False_w,BB_CONFIRMED,DOGE-USDT-SWAP,M30,Long,2021-04-03 19:00:00,0.057537,0.0552,2021-04-04 00:00:00,0.05515,stop,2130.0,0.120011655,-5.204321655,-0.05208691319399045,9991.61082097
ETH-USDT-SWAP_M30_STOCH_False_True_True,STOCH,ETH-USDT-SWAP,M30,Long,2021-04-03 19:00:00,2066.8300000000004,1985.81,2021-04-03 19:30:00,2081.66,take_profit,0.01,0.02074245,0.12755754999999475,0.001276646501605947,9991.61082097
EGLD-USDT-SWAP_H1_ENVELOPE_CROSS_False_True_True,ENVELOPE_CROSS,EGLD-USDT-SWAP,H1,Short,2021-04-03 20:00:00,164.675,172.353,2021-04-03 21:00:00,160.73,take_profit,0.5,0.08135125,1.8911487500000108,0.01892712437372817,9991.73837852
EGLD-USDT-SWAP_H1_BB_CONFIRMED_False_True_True,BB_CONFIRMED,EGLD-USDT-SWAP,H1,Short,2021-04-03 20:00:00,164.675,172.374,2021-04-03 21:00:00,160.73,take_profit,0.5,0.08135125,1.8911487500000108,0.01892712437372817,9991.73837852
AAVE-USDT-SWAP_H1_FAKE_REVERSAL_False_True_False_w,FAKE_REVERSAL,AAVE-USDT-SWAP,H1,Short,2021-04-03 22:00:00,380.95,395.46,2021-04-03 23:00:00,380.94,take_profit,0.29,0.11047404999999999,-0.10757405000000263,-0.0010760578772057079,9997.050556365
SOL-USDT-SWAP_M30_RISE_FALL_False_True_False_w,RISE_FALL,SOL-USDT-SWAP,M30,Long,2021-04-03 22:00:00,23.239,21.67,2021-04-03 22:30:00,23.249,take_profit,1.37,0.03184428,-0.018144280000002726,-0.000181496331319946,9997.050556365
EGLD-USDT-SWAP_H1_ENVELOPE_CROSS_False_True_True,ENVELOPE_CROSS,EGLD-USDT-SWAP,H1,Short,2021-04-03 22:00:00,158.57500000000002,166.195,2021-04-03 23:00:00,158.574,take_profit,0.5,0.07928725,-0.07878724999999762,-0.0007881049471119732,9997.050556365
ETH-USDT-SWAP_M30_STOCH_False_True_True,STOCH,ETH-USDT-SWAP,M30,Long,2021-04-03 23:30:00,2049.6400000000003,1953.59,2021-04-04 09:30:00,2049.6500000000005,take_profit,0.009,0.018446805,-0.018356804999998037,-0.00018362596469670124,9996.846050785
ETH-USDT-SWAP_M30_ENVELOPE_BREAKTHROUGH_True_False_True_w,ENVELOPE_BREAKTHROUGH,ETH-USDT-SWAP,M30,Short,2021-04-04 00:00:00,1981.24,2104.03,2021-04-04 00:30:00,2024.57,exit,0.035,0.070101675,-1.5866516749999975,-0.015871522547607965,9996.846050785
ETH-USDT-SWAP_M30_HHV_LLV_False_False_True_w,HHV_LLV,ETH-USDT-SWAP,M30,Short,2021-04-04 00:00:00,1983.14,2079.92,2021-04-04 13:00:00,2079.9700000000003,stop,0.03,0.06094665,-2.9658466500000045,-0.029667823580889416,9996.846050785
